MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,MFCC_21,MFCC_22,MFCC_23,MFCC_24,MFCC_25,MFCC_26,MFCC_27,MFCC_28,MFCC_29,MFCC_30,MFCC_31,MFCC_32,MFCC_33,MFCC_34,MFCC_35,MFCC_36,MFCC_37,MFCC_38,MFCC_39,MFCC_40,emotion,filename
-635.40546,46.724274,-9.126486,7.6220226,-9.228819,-2.252636,-11.927204,-5.1333394,-2.8860652,-3.1843457,-4.7457595,-3.0650966,-2.5977137,-6.1249785,-1.8442603,-3.0448897,-1.4771304,-0.90403044,0.019703778,-0.9195292,-0.5437418,1.2913762,-2.1677918,-0.87197727,-0.43448424,0.49864596,1.7971783,0.29728475,2.768628,2.799539,3.8628983,3.0850015,0.9427709,-0.76422495,0.5940232,-0.5204445,-0.37546742,-1.0186619,-0.54634106,-3.2355938,neutral,03-01-01-01-01-01-02.wav
-636.1977,40.699337,-8.0251665,9.808751,-10.634167,-1.0344394,-11.675278,-2.8833816,-3.891005,-1.806389,-4.7946687,-3.4168859,-2.4210331,-5.8858147,-2.8536484,-1.628712,-1.5706836,-1.1164511,-0.33890226,-1.6288657,-1.8779429,0.3645356,-2.3251672,-2.4539585,-1.9333153,1.1894447,3.0112898,0.82466334,3.5081983,4.371406,3.172842,2.6520247,1.9363155,0.1815618,1.3364193,-1.1691475,-0.46082067,-0.9393358,0.20539886,-1.5758439,neutral,03-01-01-01-01-02-02.wav
-610.567,45.034027,-11.266638,4.745263,-8.560231,-2.1599095,-12.786818,-6.30015,-4.42165,-3.2478728,-5.74154,-3.9214094,-0.40447563,-6.5593915,-2.523208,-4.164769,-2.0991545,0.054164384,-0.085531615,-0.18958148,-0.69397914,0.33623514,0.08886227,0.31936684,3.7546244,2.3481395,2.9113605,0.57219326,2.098282,2.3106267,0.89238787,3.2536004,2.499207,-1.2684526,-0.20317166,-0.32072014,1.7249858,0.38941616,0.12227801,-2.1898234,neutral,03-01-01-01-02-01-02.wav
-627.9353,40.644955,-10.158667,4.523316,-11.419609,-3.3669298,-13.973921,-7.337733,-5.521185,-4.2694473,-6.2527127,-6.426897,-2.23848,-7.3765316,-1.8709474,-4.972972,-2.4123797,-0.49205887,-0.2928442,-1.4658835,-2.11219,-0.5861603,-1.4740665,1.2042359,3.7476616,3.4715815,4.7352242,2.8507466,2.6593876,0.47723028,-0.9301665,3.0501766,4.270379,1.183467,1.0270427,-1.0604407,0.5618443,-0.1516643,0.17189631,-1.8588717,neutral,03-01-01-01-02-02-02.wav
-647.83813,44.68281,-2.6711228,9.461971,-9.021506,0.6391363,-10.630218,-3.574412,-4.0354004,-1.9083245,-6.7329845,-2.015586,-1.1265398,-4.8357143,-2.6187415,-2.570771,-3.790157,-2.778386,-1.3472196,-2.3578146,-0.82062846,0.31345424,0.044768333,3.1605966,5.4855337,7.5014176,6.8202767,3.736141,3.6742032,2.421471,3.471705,2.7131703,1.5101216,-0.3954232,1.602861,0.25376546,1.3632351,0.94166005,0.09719038,-1.6247612,calm,03-01-02-01-01-01-02.wav
-644.3049,39.74072,-8.272569,7.1271725,-10.224844,-0.43002543,-12.671678,-3.6364284,-4.8013005,-2.552783,-9.39635,-2.6190321,-1.1304439,-6.1052313,-3.622529,-4.9973717,-4.7319417,-4.2473364,-1.6228746,-2.8643155,-1.126356,-0.34864768,-0.44185707,0.58030933,1.3159525,3.4963348,5.7681413,4.7668905,5.708604,3.2103455,2.0143523,0.3851143,2.4267762,3.339616,5.175338,1.667654,1.0418866,-0.85989153,-0.41058412,-1.8758718,calm,03-01-02-01-01-02-02.wav
-641.79755,39.74957,-7.2182965,2.888638,-8.270582,-4.028354,-12.377616,-6.6888366,-4.975251,-4.631062,-7.816871,-4.441982,-2.03532,-8.808444,-3.688048,-3.4089859,-5.0226016,-3.1727803,-2.9067488,-5.5258365,-1.2525978,-1.0060136,-0.30204323,0.7086753,4.285861,6.1170907,8.270617,6.3312845,5.9516606,4.074417,2.4994476,4.0840364,3.9939256,2.9271796,3.628154,1.8005335,2.595521,-0.043497674,-0.028893407,-2.0616663,calm,03-01-02-01-02-01-02.wav
-634.46356,41.665356,-13.791749,0.7677086,-10.538466,-4.5988154,-15.451441,-7.8763046,-6.1932344,-5.586053,-9.089184,-7.3609815,-3.6912847,-9.423522,-4.6202536,-4.461276,-5.964747,-4.877182,-4.336855,-6.2102513,-2.443071,-1.0131999,-0.8680982,0.94987875,2.6353385,3.873549,7.3371983,5.4499683,5.9667315,4.2960415,2.4456608,3.855237,3.906173,2.980647,4.151185,1.069197,1.2706257,-0.298241,-0.3360314,-2.1092594,calm,03-01-02-01-02-02-02.wav
-630.25793,36.54704,-5.7362823,6.132927,-11.085209,-2.071126,-9.924001,-6.7612033,-4.411791,-3.1549423,-9.031953,-3.2253582,-4.171502,-5.541437,-5.4374757,-4.6295652,-4.528741,-4.5740075,-1.6841452,-4.313327,-1.851076,-1.9736239,-2.0611444,-0.5629836,0.7195639,2.95233,2.3997052,0.897944,1.5406151,2.390949,4.3715596,6.169303,6.4741445,2.38564,2.6343935,-0.09635951,0.064624965,-0.8174913,-0.07688088,-0.85094684,calm,03-01-02-02-01-01-02.wav
-641.808,38.204582,-8.419167,4.941075,-11.31685,-0.23404428,-12.550733,-5.4237995,-5.843285,-1.5354774,-9.743683,-3.8492563,-2.2305534,-6.2765646,-5.073647,-5.5932903,-4.243116,-5.2325926,-4.239467,-6.507016,-3.5646436,-0.727421,0.41920626,1.0338094,0.5268877,-0.84869784,0.8793477,0.660552,2.7555223,3.4337883,4.3017364,5.7861724,6.471596,3.2353175,1.0453349,-1.6198549,0.03206188,-0.22103874,-1.4544371,-3.39446,calm,03-01-02-02-01-02-02.wav
