Check,Result
Expected audio files,1440
Audio files found,1440
Readable audio files,1440
Unreadable audio files,0
Sampling rate,16 kHz
Number of actors,24
Number of emotion classes,8
Missing metadata values,0
Duplicate filenames,0
Duplicate file paths,0
Training files,1140
Testing files,300
Actor overlap between train/test,0
Training missing feature values,0
Testing missing feature values,0
Training infinite feature values,0
Testing infinite feature values,0
Training duplicate feature rows,0
Testing duplicate feature rows,0
